X,Y,OBJECTID,NoticeNum,DateNotice,NT,HousingMarketTypology2017,Council_District,Neighborhood,BLOCKLOT,Address,Year
1410934.191,588196.7304,749499,1774279A,2019/03/28 16:03:00+00,Vacant,J,9,CARROLLTON RIDGE,0696 087,2218 CHRISTIAN ST,2019
1410922.902,588192.3101,749500,2113176A,2022/05/27 16:45:00+00,Vacant,J,9,CARROLLTON RIDGE,0696 088,2220 CHRISTIAN ST,2022
1410912.084,588187.4364,749501,1999606A,2021/05/26 08:49:00+00,Vacant,J,9,CARROLLTON RIDGE,0696 089,2222 CHRISTIAN ST,2021
1410868.478,588168.9804,749505,2021849A,2021/07/23 14:14:00+00,Vacant,J,9,CARROLLTON RIDGE,0696 093,2230 CHRISTIAN ST,2021
1411048.514,588130.5904,749509,1614827A,2018/08/21 21:37:00+00,Vacant,J,9,CARROLLTON RIDGE,0696 097,2207 CHRISTIAN ST,2018
1411037.49,588125.8486,749510,1765026A,2020/05/07 14:51:00+00,Vacant,J,9,CARROLLTON RIDGE,0696 098,2209 CHRISTIAN ST,2020
1411004.767,588111.6633,749513,2186711A,2022/11/30 13:33:00+00,Vacant,J,9,CARROLLTON RIDGE,0696 101,2215 CHRISTIAN ST,2022
1410983,588102.3592,749515,1970841A,2021/02/12 15:48:00+00,Vacant,J,9,CARROLLTON RIDGE,0696 103,2219 CHRISTIAN ST,2021
1410938.92,588083.3598,749519,2008495A,2021/06/17 14:40:00+00,Vacant,J,9,CARROLLTON RIDGE,0696 107,2227 CHRISTIAN ST,2021
1410927.899,588078.6099,749520,2132431A,2022/07/11 01:28:00+00,Vacant,J,9,CARROLLTON RIDGE,0696 108,2229 CHRISTIAN ST,2022
1410906.334,588068.9189,749522,1857633A,2020/04/03 11:23:00+00,Vacant,J,9,CARROLLTON RIDGE,0696 110,2233 CHRISTIAN ST,2020
1411238.776,588247.2808,749524,2097624A,2022/04/14 15:08:00+00,Vacant,J,9,CARROLLTON RIDGE,0697 002,527 S SMALLWOOD ST,2022
1411533.777,588244.3992,749549,2085130A,2022/03/08 11:29:00+00,Vacant,J,9,CARROLLTON RIDGE,0697 027,2106 WILKENS AVE,2022
1411443.42,588300.7859,749559,1823649A,2019/08/01 20:31:00+00,Vacant,J,9,CARROLLTON RIDGE,0697 040,2105 CHRISTIAN ST,2019
1411432.398,588296.0349,749560,2074369A,2022/01/20 16:06:00+00,Vacant,J,9,CARROLLTON RIDGE,0697 041,2107 CHRISTIAN ST,2022
1411410.698,588286.681,749562,1896305A,2020/05/07 14:51:00+00,Vacant,J,9,CARROLLTON RIDGE,0697 043,2111 CHRISTIAN ST,2020
1411311.448,588243.9058,749571,2134597A,2022/07/11 01:32:00+00,Vacant,J,9,CARROLLTON RIDGE,0697 052,2129 CHRISTIAN ST,2022
1411924.618,588413.4848,749595,1962270A,2021/01/11 01:07:00+00,Vacant,J,9,CARROLLTON RIDGE,0698 023,2006 WILKENS AVE,2021
1411899.732,588402.1981,749597,2097070A,2022/04/14 16:29:00+00,Vacant,J,9,CARROLLTON RIDGE,0698 025,2010 WILKENS AVE,2022
1411849.492,588380.9806,749601,1595476A,2017/10/09 17:14:00+00,Vacant,J,9,CARROLLTON RIDGE,0698 029,2018 WILKENS AVE,2017
1411824.556,588370.19,749603,2163577A,2022/09/19 15:18:00+00,Vacant,J,9,CARROLLTON RIDGE,0698 031,2022 WILKENS AVE,2022
1411678.217,588306.8725,749614,2055689A,2021/10/29 15:01:00+00,Vacant,J,9,CARROLLTON RIDGE,0698 042,2044 WILKENS AVE,2021
1411632.198,588415.3507,749622,1896257A,2020/05/07 15:13:00+00,Vacant,J,9,CARROLLTON RIDGE,0698 050,427 S PULASKI ST,2020
1411562.01,588568.3251,749632,1659398A,2018/04/27 01:12:00+00,Vacant,J,9,CARROLLTON RIDGE,0698 060,407 S PULASKI ST,2018
1411617.415,588601.3585,749637,1895420A,2020/05/05 13:16:00+00,Vacant,J,9,CARROLLTON RIDGE,0698 065,2029 ASHTON ST,2020
1411694.226,588634.3456,749644,2097069A,2022/04/14 16:21:00+00,Vacant,J,9,CARROLLTON RIDGE,0698 072,2015 ASHTON ST,2022
1411772.159,588667.8209,749651,2003016A,2021/06/03 23:06:00+00,Vacant,J,9,CARROLLTON RIDGE,0698 079,2001 ASHTON ST,2021
1411708.383,588542.5594,749660,1581685A,2017/09/01 15:05:00+00,Vacant,J,9,CARROLLTON RIDGE,0698 089,2018 CHRISTIAN ST,2017
1411709.989,588415.6804,749669,1757900A,2019/01/18 12:20:00+00,Vacant,J,9,CARROLLTON RIDGE,0698 098,2027 CHRISTIAN ST,2019
1411720.999,588420.4248,749670,2191379A,2022/12/19 13:52:00+00,Vacant,J,9,CARROLLTON RIDGE,0698 099,2025 CHRISTIAN ST,2022
1411854.803,588478.089,749682,2093244A,2022/04/01 13:09:00+00,Vacant,J,9,CARROLLTON RIDGE,0698 111,2001 CHRISTIAN ST,2022
1412291.64,588704.8931,749686,2190433A,2022/12/14 08:47:00+00,Vacant,J,9,CARROLLTON RIDGE,0699 003,412 S MONROE ST,2022
1412295.236,588690.7838,749687,1779242A,2019/04/12 16:04:00+00,Vacant,J,9,CARROLLTON RIDGE,0699 004,414 S MONROE ST,2019
1412246.58,588564.0892,749693,1778888A,2019/04/12 12:46:00+00,Vacant,J,9,CARROLLTON RIDGE,0699 011,1908 WILKENS AVE,2019
1412180.467,588536.4377,749697,2054871A,2021/10/27 11:47:00+00,Vacant,J,9,CARROLLTON RIDGE,0699 015,1916 WILKENS AVE,2021
1412022.134,588542.4521,749707,1656027A,2018/04/09 19:31:00+00,Vacant,J,9,CARROLLTON RIDGE,0699 025,433 S PAYSON ST,2018
1411977.418,588668.9919,749714,1976837A,2021/04/18 22:31:00+00,Vacant,J,9,CARROLLTON RIDGE,0699 032,419 S PAYSON ST,2021
1411967.504,588691.6037,749716,2101431A,2022/04/29 11:46:00+00,Vacant,J,9,CARROLLTON RIDGE,0699 034,415 S PAYSON ST,2022
1411952.511,588725.7897,749719,2101433A,2022/04/29 11:46:00+00,Vacant,J,9,CARROLLTON RIDGE,0699 037,409 S PAYSON ST,2022
1411947.441,588737.3621,749720,2101435A,2022/04/29 11:46:00+00,Vacant,J,9,CARROLLTON RIDGE,0699 038,407 S PAYSON ST,2022
1412033.043,588771.3896,749728,1970896A,2021/02/12 16:35:00+00,Vacant,J,9,CARROLLTON RIDGE,0699 046,1937 RAMSAY ST,2021
1412066.624,588785.9159,749731,1961986A,2021/01/11 04:54:00+00,Vacant,J,9,CARROLLTON RIDGE,0699 049,1931 RAMSAY ST,2021
1412107.1,588708.0715,749751,1869860A,2020/01/02 16:15:00+00,Vacant,J,9,CARROLLTON RIDGE,0699 070,1924 CHRISTIAN ST,2020
1412029.734,588674.6366,749758,1896258A,2020/05/07 15:13:00+00,Vacant,J,9,CARROLLTON RIDGE,0699 077,1938 CHRISTIAN ST,2020
1412067.934,588584.8792,749761,1609529A,2017/11/17 20:06:00+00,Vacant,J,9,CARROLLTON RIDGE,0699 080,1935 CHRISTIAN ST,2017
1412140.965,588615.9923,749768,1842446A,2019/09/13 10:27:00+00,Vacant,J,9,CARROLLTON RIDGE,0699 087,1921 CHRISTIAN ST,2019
1412152.137,588620.7594,749769,2104395A,2022/05/06 13:10:00+00,Vacant,J,9,CARROLLTON RIDGE,0699 088,1919 CHRISTIAN ST,2022
1412163.127,588625.4405,749770,1649208A,2018/03/14 14:56:00+00,Vacant,J,9,CARROLLTON RIDGE,0699 089,1917 CHRISTIAN ST,2018
1412218.641,588649.0907,749775,2160845A,2022/09/09 10:25:00+00,Vacant,J,9,CARROLLTON RIDGE,0699 094,1907 CHRISTIAN ST,2022
1411293.012,587783.5061,749789,1644333A,2018/03/03 22:31:00+00,Vacant,J,9,CARROLLTON RIDGE,0701 007,612 S SMALLWOOD ST,2018
1411203.294,587789.4582,749793,1779516A,2019/04/17 21:24:00+00,Vacant,J,9,CARROLLTON RIDGE,0701 011,2206 EAGLE ST,2019
1410997.359,587811.0294,749829,1782981A,2019/04/25 14:55:00+00,Vacant,J,9,CARROLLTON RIDGE,0701 047,2243 WILKENS AVE,2019
1410997.671,587744.04,749834,1613852A,2017/12/03 14:34:00+00,Vacant,J,9,CARROLLTON RIDGE,0701 052,601 S BENTALOU ST,2017
1411001.697,587732.168,749835,1581690A,2017/09/01 15:16:00+00,Vacant,J,9,CARROLLTON RIDGE,0701 053,603 S BENTALOU ST,2017
1411680.504,587951.554,749847,1586689A,2017/09/11 16:12:00+00,Vacant,J,9,CARROLLTON RIDGE,0702 007,514 S PULASKI ST,2017
1411585.449,587956.3092,749851,1870046A,2020/01/02 17:17:00+00,Vacant,J,9,CARROLLTON RIDGE,0702 011,2106 EAGLE ST,2020
1411382.942,587915.5544,749871,1969660A,2021/02/10 09:19:00+00,Vacant,J,9,CARROLLTON RIDGE,0702 030,601 S SMALLWOOD ST,2021
1411447.278,588009.3406,749881,2140240A,2022/07/22 01:00:00+00,Vacant,J,9,CARROLLTON RIDGE,0702 040,2133 WILKENS AVE,2022
1412037.227,588256.5688,749898,2188893A,2022/12/05 13:52:00+00,Vacant,J,9,CARROLLTON RIDGE,0703 001,2001 WILKENS AVE,2022
1412022.712,588250.1417,749899,1765246A,2019/04/23 12:23:00+00,Vacant,J,9,CARROLLTON RIDGE,0703 002,2003 WILKENS AVE,2019
1411983.518,588234.1227,749902,2057399A,2021/11/05 12:41:00+00,Vacant,J,9,CARROLLTON RIDGE,0703 005,2009 WILKENS AVE,2021
1411880.912,588190.1257,749910,1770867A,2019/04/22 16:44:00+00,Vacant,J,9,CARROLLTON RIDGE,0703 013,2025 WILKENS AVE,2019
1411841.992,588173.6349,749913,1909805A,2020/06/30 08:45:00+00,Vacant,J,9,CARROLLTON RIDGE,0703 016,2031 WILKENS AVE,2020
1411764.817,588140.5244,749919,1869872A,2020/01/02 17:23:00+00,Vacant,J,9,CARROLLTON RIDGE,0703 022,2043 WILKENS AVE,2020
1411793.826,588047.9954,749924,1613854A,2017/12/03 14:34:00+00,Vacant,J,9,CARROLLTON RIDGE,0703 028,507 S PULASKI ST,2017
1411880.506,588077.6489,749931,1585676A,2017/09/08 16:30:00+00,Vacant,J,9,CARROLLTON RIDGE,0703 035,2024 EAGLE ST,2017
1412277.6,588359.7218,749951,1512989A,2017/03/29 21:11:00+00,Vacant,J,9,CARROLLTON RIDGE,0704 007,1913 WILKENS AVE,2017
1412239.629,588343.339,749954,1970910A,2021/02/13 22:43:00+00,Vacant,J,9,CARROLLTON RIDGE,0704 010,1919 WILKENS AVE,2021
1412163.104,588310.2603,749960,1514340A,2017/03/27 16:07:00+00,Vacant,J,9,CARROLLTON RIDGE,0704 016,1931 WILKENS AVE,2017
1413159.446,588752.9963,749997,1651371A,2018/03/23 23:27:00+00,Vacant,I,9,NEW SOUTHWEST/MOUNT CLARE,0706 020,1711 WILKENS AVE,2018
1413333.216,588819.3515,750060,1687900A,2018/07/10 01:02:00+00,Vacant,I,9,NEW SOUTHWEST/MOUNT CLARE,0707 045,1643 WILKENS AVE,2018
1413495.083,588788.1265,750085,2080686A,2022/02/18 08:43:00+00,Vacant,I,9,NEW SOUTHWEST/MOUNT CLARE,0707 070,407 S VINCENT ST,2022
1413500.225,588679.627,750094,1504958A,2017/02/24 11:31:00+00,Vacant,I,9,NEW SOUTHWEST/MOUNT CLARE,0707 079,425 S VINCENT ST,2017
1413986.351,588775.4858,750157,1531035A,2017/06/11 00:59:00+00,Vacant,I,9,NEW SOUTHWEST/MOUNT CLARE,0708 057,414 S STRICKER ST,2017
1413811.82,588695.7323,750177,1509110A,2017/03/08 15:41:00+00,Vacant,I,9,NEW SOUTHWEST/MOUNT CLARE,0708 077,428 S PARRISH ST,2017
1413812.39,588683.8823,750178,1685236A,2018/06/21 12:03:00+00,Vacant,I,9,NEW SOUTHWEST/MOUNT CLARE,0708 078,430 S PARRISH ST,2018
1413812.998,588671.6618,750179,1649171A,2018/03/14 15:55:00+00,Vacant,I,9,NEW SOUTHWEST/MOUNT CLARE,0708 079,432 S PARRISH ST,2018
1413913.325,588664.2045,750189,1649145A,2018/03/16 15:16:00+00,Vacant,I,9,NEW SOUTHWEST/MOUNT CLARE,0708 089,435 S PARRISH ST,2018
1413907.994,588772.531,750198,1515908A,2017/04/02 20:22:00+00,Vacant,I,9,NEW SOUTHWEST/MOUNT CLARE,0708 098,417 S PARRISH ST,2017
1414330.64,588933.5386,750206,2094557A,2022/04/07 10:12:00+00,Vacant,I,9,NEW SOUTHWEST/MOUNT CLARE,0709 001,1401 RAMSAY ST,2022
1414599.67,588941.2863,750243,2179869A,2022/11/01 13:25:00+00,Vacant,I,9,NEW SOUTHWEST/MOUNT CLARE,0710 009,1333 RAMSAY ST,2022
1412581.325,588205.3799,750279,2055544A,2021/10/29 09:28:00+00,Vacant,I,9,CARROLLTON RIDGE,0711 026,1842 EAGLE ST,2021
1412568.863,588204.6608,750280,2056371A,2021/11/03 11:25:00+00,Vacant,I,9,CARROLLTON RIDGE,0711 027,1844 EAGLE ST,2021
1412531.375,588202.1296,750283,2041591A,2021/09/23 10:21:00+00,Vacant,I,9,CARROLLTON RIDGE,0711 030,1850 EAGLE ST,2021
1412470.016,588193.1044,750286,2041610A,2021/09/23 10:20:00+00,Vacant,I,9,CARROLLTON RIDGE,0711 033,545 S MONROE ST,2021
1412469.451,588205.751,750287,2057406A,2021/11/05 12:43:00+00,Vacant,I,9,CARROLLTON RIDGE,0711 034,543 S MONROE ST,2021
